"","Treatment","MeanCorr"
"VEHICLE_1","VEHICLE_1",0.991785046821073
"VEHICLE_2","VEHICLE_2",0.991293269872767
"VEHICLE_3","VEHICLE_3",0.989174318832863
"VEHICLE_4","VEHICLE_4",0.987237647060513
"VEHICLE_5","VEHICLE_5",0.988279558737816
"VEHICLE_6","VEHICLE_6",0.987550270303417
"VEHICLE_7","VEHICLE_7",0.991150424678273
"VEHICLE_8","VEHICLE_8",0.99208679871219
"VEHICLE_9","VEHICLE_9",0.99170315810745
"VEHICLE_10","VEHICLE_10",0.993136505676542
"VEHICLE_11","VEHICLE_11",0.9926052883074
"VEHICLE_12","VEHICLE_12",0.992485800905153
"VEHICLE_13","VEHICLE_13",0.991521745597016
"VEHICLE_14","VEHICLE_14",0.992895907301721
"VEHICLE_15","VEHICLE_15",0.989281758698376
"VEHICLE_16","VEHICLE_16",0.985261509149232
"VEHICLE_17","VEHICLE_17",0.989409165786326
"VEHICLE_18","VEHICLE_18",0.97679513234277
"VEHICLE_19","VEHICLE_19",0.990770439622048
"VEHICLE_20","VEHICLE_20",0.991486904030321
"VEHICLE_21","VEHICLE_21",0.99103899110007
"VEHICLE_22","VEHICLE_22",0.991020807785874
"VEHICLE_23","VEHICLE_23",0.986237850428624
"VEHICLE_24","VEHICLE_24",0.986646961355768
